TRT,REP,ENV,DTH,GFD,PHT,TNS,TGW,KA,KW,KL,KC,KLW,KPS,GWS
11,1,FL23,38,38,94.66666667,13.875,38.65060241,16.86432422,3.452147328,6.848715781,1.380665968,1.993659886,51.875,2.005
11,2,FL23,38,39,90,13,38.30508475,17.30643039,3.373253383,6.847248876,1.396151273,2.051091494,44.25,1.695
12,1,GH22,45,38,66,18.25,40.28571429,15.67664766,3.366289775,6.381128058,1.353022007,1.909899,35,1.41
12,2,GH22,42,40,68,17.5,46.58536585,17.81291433,3.669783406,6.627263881,1.31376851,1.819496896,41,1.91
12,3,GH22,45,42,80,17.75,43.62068966,16.25330369,3.524503655,6.256030477,1.2967978,1.782731688,29,1.265
12,1,FL22,39,27,,,,,,,,,,
12,2,FL22,40,25,,,,,,,,,,
12,1,GH23,40,34,92,14.5,44.1509434,17.54599885,3.457976265,6.80552913,1.426638595,2.041628227,39.75,1.755
12,2,GH23,41,37,90,13.75,46.80851064,18.0654389,3.449554977,6.849613381,1.359751104,1.995101496,23.5,1.1
12,1,FL23,38,38,76.33333333,14.375,26.43867925,14.1045539,2.957324162,6.231556694,1.427688911,2.107347091,53,1.40125
12,2,FL23,36,36,80.33333333,13.875,30.50167224,13.40070431,3.076412959,6.133971673,1.38708656,2.040515463,37.375,1.14
13,1,GH22,43,44,56,14.5,42.14876033,15.89373161,3.501708376,6.209858456,1.300667337,1.782877314,30.25,1.275
13,2,GH22,41,41,68,17.25,47.79874214,17.82776783,3.679477537,6.632633508,1.313476198,1.811217033,39.75,1.9
13,3,GH22,43,47,76,17.5,54.7107438,20.69873779,3.914858657,7.152087527,1.312706913,1.835793727,30.25,1.655
13,1,FL22,37,25,,,,,,,,,,
13,2,FL22,37,26,,,,,,,,,,
13,1,GH23,39,32,73,18.5,35.83850932,15.89724511,3.480857814,6.158316126,1.298268889,1.776987419,40.25,1.4425
13,2,GH23,41,33,75,18.5,40.87248322,16.17832263,3.517931596,6.187311057,1.290770287,1.766791368,37.25,1.5225
13,1,FL23,36,34,78.66666667,15,33.53403141,15.13938167,3.214573994,6.317567742,1.387349202,1.979739646,47.75,1.60125
13,2,FL23,34,33,77,15.5,35.15706806,14.86463761,3.261070625,6.300629594,1.389990922,1.965103888,47.75,1.67875
